timestamp,provider,model,technique,latency_ms,input_tokens_est,context_tokens_est,total_est,prompt_tokens_actual,completion_tokens_actual,total_tokens_actual,retry_count,backoff_ms_total,overflow_handled,cost_estimate_usd,notes
2025-12-21T22:45:12.003936,google,gemini-2.0-flash-exp,hello_world,957,24,0,27,16,5,21,0,0,False,N/A,
2025-12-21T22:51:02.065913,google,gemini-2.0-flash-exp,hello_world,1118,24,0,27,16,5,21,0,0,False,N/A,
2025-12-21T22:51:12.939755,google,gemini-2.0-flash-exp,hello_world,1005,24,0,27,16,5,21,0,0,False,N/A,
2025-12-21T22:51:13.879647,groq,llama-3.1-8b-instant,hello_world,920,24,0,27,51,5,56,0,0,False,~$0.000003,
2025-12-21T22:53:07.112068,google,gemini-2.0-flash-exp,hello_world,1175,24,0,27,16,5,21,0,0,False,N/A,
2025-12-21T22:53:07.839895,groq,llama-3.1-8b-instant,hello_world,705,24,0,27,51,5,56,0,0,False,~$0.000003,
2025-12-21T23:16:04.956819,openai,gemini-2.0-flash-exp,temp_sweep_0.0,1365,24,0,27,17,30,47,0,0,False,N/A,
2025-12-21T23:16:05.737841,openai,gemini-2.0-flash-exp,temp_sweep_0.5,778,24,0,27,17,29,46,0,0,False,N/A,
2025-12-21T23:16:06.541175,openai,gemini-2.0-flash-exp,temp_sweep_1.0,800,24,0,27,17,38,55,0,0,False,N/A,
2025-12-21T23:16:07.362470,openai,gemini-2.0-flash-exp,temp_sweep_1.5,817,24,0,27,17,24,41,0,0,False,N/A,
2025-12-21T23:16:49.582602,openai,gemini-2.0-flash-exp,unstructured,1624,223,0,226,234,82,316,0,0,False,N/A,
2025-12-21T23:16:50.560128,openai,gemini-2.0-flash-exp,skeleton,966,264,0,267,278,66,344,0,0,False,N/A,
2025-12-21T23:16:54.088416,openai,gemini-2.0-flash-exp,zero_shot_classify,549,79,0,82,81,2,83,0,0,False,N/A,
2025-12-21T23:19:56.646148,openai,gemini-2.0-flash-exp,zero_shot,1294,52,0,55,49,2,51,0,0,False,N/A,
2025-12-21T23:20:26.326481,openai,gemini-2.0-flash-exp,few_shot,1198,313,0,316,351,36,387,0,0,False,N/A,
2025-12-21T23:29:46.717236,openai,gemini-2.0-flash-exp,zero_shot,1122,52,0,55,49,2,51,0,0,False,N/A,
2025-12-21T23:29:47.582808,openai,gemini-2.0-flash-exp,few_shot,852,313,0,316,351,36,387,0,0,False,N/A,
2025-12-21T23:35:16.993687,openai,gemini-2.0-flash-exp,zero_shot,1163,52,0,55,49,2,51,0,0,False,N/A,
2025-12-21T23:35:17.829666,openai,gemini-2.0-flash-exp,few_shot,821,313,0,316,351,32,383,0,0,False,N/A,
2025-12-21T23:35:26.215847,openai,gemini-3-pro-preview,cot,8300,246,0,249,265,,265,0,0,False,N/A,
2025-12-21T23:36:02.644446,openai,gemini-2.0-flash-exp,zero_shot,1086,52,0,55,49,2,51,0,0,False,N/A,
2025-12-21T23:36:03.460758,openai,gemini-2.0-flash-exp,few_shot,799,313,0,316,351,45,396,0,0,False,N/A,
2025-12-21T23:36:11.651443,openai,gemini-3-pro-preview,cot,8127,246,0,249,265,,265,0,0,False,N/A,
2025-12-21T23:36:19.966268,google,gemini-3-pro-preview,cot,8252,246,0,249,265,,265,0,0,False,N/A,
2025-12-21T23:36:29.732416,openai,gemini-3-pro-preview,tot,9748,76,0,79,76,,76,0,0,False,N/A,
2025-12-21T23:37:49.550252,openai,gemini-2.0-flash-exp,zero_shot,1150,52,0,55,49,2,51,0,0,False,N/A,
2025-12-21T23:37:50.395103,openai,gemini-2.0-flash-exp,few_shot,829,313,0,316,351,35,386,0,0,False,N/A,
2025-12-21T23:37:59.103272,openai,gemini-3-pro-preview,cot,8644,246,0,249,265,,265,0,0,False,N/A,
2025-12-21T23:38:07.392771,google,gemini-3-pro-preview,cot,8226,246,0,249,265,,265,0,0,False,N/A,
2025-12-21T23:38:17.771395,openai,gemini-3-pro-preview,tot,10357,76,0,79,76,,76,0,0,False,N/A,
